Invoice;StockCode;Description;Quantity;InvoiceDate;Price;Customer ID;Country;Revenue
503443;21272;SALLE DE BAIN HOOK;12;2010-04-01 10:34:00;1.25;15754.0;United Kingdom;15.0
508078;22383;LUNCH BAG SUKI  DESIGN ;100;2010-05-12 16:40:00;1.45;12482.0;Sweden;145.0
535107;21506;FANCY FONT BIRTHDAY CARD, ;12;2010-11-25 11:17:00;0.42;14680.0;United Kingdom;5.04
510507;21034;REX CASH+CARRY JUMBO SHOPPER;1;2010-06-01 12:45:00;0.95;16884.0;United Kingdom;0.95
499511;22352;LUNCHBOX WITH CUTLERY RETROSPOT ;6;2010-03-01 08:55:00;2.55;16717.0;United Kingdom;15.299999999999999
501010;22297;HEART IVORY TRELLIS SMALL;6;2010-03-11 15:33:00;1.25;13715.0;United Kingdom;7.5
532566;22197;SMALL POPCORN HOLDER;24;2010-11-12 13:18:00;0.85;14911.0;EIRE;20.4
500338;21901;KEY FOB , BACK DOOR ;1;2010-03-07 14:05:00;0.65;13276.0;United Kingdom;0.65
522455;21614;SET OF 12 ROSE BOTANICAL T-LIGHTS;6;2010-09-14 15:41:00;2.95;17422.0;United Kingdom;17.700000000000003
494732;20679;EDWARDIAN PARASOL RED;3;2010-01-18 12:27:00;5.95;16670.0;United Kingdom;17.85
522808;22561;WOODEN SCHOOL COLOURING SET;12;2010-09-16 16:56:00;1.65;12921.0;United Kingdom;19.799999999999997
499641;21934;SKULL SHOULDER BAG;1;2010-03-01 14:01:00;1.65;17841.0;United Kingdom;1.65
521478;22498;WOODEN REGATTA BUNTING;1;2010-09-06 12:55:00;5.95;17841.0;United Kingdom;5.95
499512;21764;VINTAGE WOODEN PLATE RACK;1;2010-03-01 09:13:00;39.95;16202.0;United Kingdom;39.95
532671;21258;VICTORIAN SEWING BOX LARGE;3;2010-11-14 11:50:00;12.75;16923.0;United Kingdom;38.25
495963;21172;PARTY METAL SIGN ;7;2010-01-28 10:42:00;1.45;13448.0;United Kingdom;10.15
495020;22367;CHILDS APRON SPACEBOY DESIGN;3;2010-01-20 13:24:00;1.95;16200.0;United Kingdom;5.85
536246;22962;JAM JAR WITH PINK LID;12;2010-11-30 14:44:00;0.85;15358.0;United Kingdom;10.2
528130;79144B;PAINTED LIGHTBULB STAR+ MOON;12;2010-10-20 14:59:00;0.42;13723.0;United Kingdom;5.04
489865;84029G;KNITTED UNION FLAG HOT WATER BOTTLE;3;2009-12-02 15:01:00;3.75;14080.0;United Kingdom;11.25
501795;35233;PASTA ENAMEL/BRASS CONTAINER;1;2010-03-19 13:41:00;3.75;16508.0;United Kingdom;3.75
493670;84562A;PINK/WHITE RIBBED MELAMINE JUG;1;2010-01-05 12:20:00;7.95;14653.0;United Kingdom;7.95
501426;21076;SET/20 COLLAGE PAPER NAPKIN ;6;2010-03-16 12:13:00;0.85;13983.0;United Kingdom;5.1
496512;22366;DOOR MAT AIRMAIL ;1;2010-02-02 11:40:00;6.75;16300.0;United Kingdom;6.75
528470;20857;BLUE ROSE PATCH PURSE PINK BUTTERFL;1;2010-10-22 11:40:00;1.65;16392.0;United Kingdom;1.65
496703;85049B;LUSH GREENS RIBBONS;12;2010-02-03 13:22:00;1.25;12396.0;RSA;15.0
521369;21294;ETCHED GLASS COASTER;6;2010-09-05 11:14:00;1.25;16085.0;United Kingdom;7.5
519419;22309;TEA COSY RED  STRIPE;6;2010-08-17 10:29:00;2.55;12431.0;Australia;15.299999999999999
520169;84270;ASSTD DESIGN BUBBLE GUM RING;30;2010-08-24 13:01:00;0.21;17649.0;United Kingdom;6.3
512096;21922;UNION STRIPE WITH FRINGE  HAMMOCK;3;2010-06-13 13:19:00;7.95;17969.0;United Kingdom;23.85
535100;22768;FAMILY PHOTO FRAME CORNICE;4;2010-11-25 10:51:00;9.95;14540.0;United Kingdom;39.8
529157;22844;VINTAGE CREAM DOG FOOD CONTAINER;1;2010-10-26 16:49:00;8.5;13969.0;United Kingdom;8.5
509187;21899;KEY FOB , GARAGE DESIGN;24;2010-05-20 17:00:00;0.65;15826.0;United Kingdom;15.600000000000001
512724;21212;PACK OF 72 RETRO SPOT CAKE CASES;12;2010-06-17 13:06:00;0.55;16743.0;United Kingdom;6.6000000000000005
521148;21904;HOUSE WRECKING METAL SIGN ;1;2010-09-02 13:27:00;2.1;16065.0;United Kingdom;2.1
501149;84458;S/3 RABBIT FLOWER/EGG/CARROT ROPE;3;2010-03-14 13:43:00;0.85;13211.0;United Kingdom;2.55
490353;22302;COFFEE MUG PEARS  DESIGN;6;2009-12-04 16:37:00;2.55;15514.0;United Kingdom;15.299999999999999
505574;84970S;HANGING HEART ZINC T-LIGHT HOLDER;12;2010-04-23 11:44:00;0.85;13269.0;United Kingdom;10.2
496293;22342;HOME GARLAND PAINTED ZINC ;12;2010-01-31 10:10:00;1.65;14068.0;United Kingdom;19.799999999999997
506384;84992;72 SWEETHEART FAIRY CAKE CASES;24;2010-04-29 12:37:00;0.55;14680.0;United Kingdom;13.200000000000001
522435;21472;LADYBIRD + BEE RAFFIA FOOD COVER;1;2010-09-14 13:45:00;3.75;14606.0;United Kingdom;3.75
497632;21770;OPEN CLOSED METAL SIGN;1;2010-02-11 13:41:00;4.95;16918.0;United Kingdom;4.95
531477;22692;DOORMAT WELCOME TO OUR HOME;3;2010-11-08 14:19:00;7.95;13538.0;United Kingdom;23.85
512130;22356;CHARLOTTE BAG PINK WITH WHITE SPOTS;10;2010-06-14 10:33:00;0.85;14114.0;United Kingdom;8.5
511771;M;Manual;1;2010-06-10 12:12:00;15.0;17032.0;United Kingdom;15.0
502883;21747;SMALL SKULL WINDMILL;300;2010-03-29 10:44:00;1.06;16754.0;United Kingdom;318.0
500368;47369A;PINK GREEN EMBROIDERY COSMETIC BAG;6;2010-03-08 08:33:00;2.95;14493.0;United Kingdom;17.700000000000003
494654;21156;RED SPOTTY CHILDS APRON;12;2010-01-17 12:42:00;1.65;13777.0;United Kingdom;19.799999999999997
501103;47559B;TEA TIME OVEN GLOVE;10;2010-03-12 13:07:00;1.25;14824.0;United Kingdom;12.5
507697;21077;SET/20 WOODLAND PAPER NAPKINS ;12;2010-05-11 10:42:00;0.85;12599.0;France;10.2
505756;84836;ZINC METAL HEART DECORATION;12;2010-04-26 09:48:00;1.25;14677.0;United Kingdom;15.0
522166;21810;CHRISTMAS HANGING STAR WITH BELL;48;2010-09-13 11:20:00;1.25;17504.0;United Kingdom;60.0
522907;21576;LETS GO SHOPPING COTTON TOTE BAG;1;2010-09-17 13:08:00;2.25;15514.0;United Kingdom;2.25
532671;21122;SET/10 PINK POLKADOT PARTY CANDLES;5;2010-11-14 11:50:00;1.25;16923.0;United Kingdom;6.25
519210;79321;CHILLI LIGHTS;8;2010-08-15 11:20:00;4.95;16631.0;United Kingdom;39.6
522976;21784;SHOE SHINE BOX ;2;2010-09-19 13:43:00;9.95;13067.0;United Kingdom;19.9
532562;82494L;WOODEN FRAME ANTIQUE WHITE ;2;2010-11-12 13:05:00;2.95;15021.0;United Kingdom;5.9
525952;21730;GLASS STAR FROSTED T-LIGHT HOLDER;1;2010-10-07 19:03:00;4.95;14525.0;United Kingdom;4.95
495504;22358;KINGS CHOICE TEA CADDY ;2;2010-01-25 13:14:00;2.95;16795.0;United Kingdom;5.9
507597;84741C;CITRUS GARLAND FELT FLOWERS ;6;2010-05-10 13:21:00;1.95;17700.0;United Kingdom;11.7
489830;90203;SILVER CHARM NECKLACE 70CM;3;2009-12-02 13:57:00;7.5;13623.0;United Kingdom;22.5
531763;22623;BOX OF VINTAGE JIGSAW BLOCKS ;10;2010-11-09 13:50:00;4.95;17878.0;United Kingdom;49.5
534379;22757;LARGE RED BABUSHKA NOTEBOOK ;2;2010-11-22 12:36:00;1.25;14646.0;Netherlands;2.5
513277;48194;DOOR MAT HEARTS;10;2010-06-23 13:14:00;6.35;16825.0;United Kingdom;63.5
522077;22382;LUNCH BAG SPACEBOY DESIGN ;1;2010-09-12 11:03:00;1.65;16686.0;United Kingdom;1.65
529364;21485;RETROSPOT HEART HOT WATER BOTTLE;6;2010-10-28 09:59:00;4.95;14907.0;United Kingdom;29.700000000000003
518230;22200;FRYING PAN PINK POLKADOT ;1;2010-08-05 15:14:00;4.25;14395.0;United Kingdom;4.25
490953;21874;GIN AND TONIC MUG;12;2009-12-08 14:56:00;1.25;13204.0;United Kingdom;15.0
506262;37448;CERAMIC CAKE DESIGN SPOTTED MUG;12;2010-04-28 14:45:00;1.49;12839.0;United Kingdom;17.88
525888;22680;FRENCH BLUE METAL DOOR SIGN, 5;1;2010-10-07 15:01:00;1.25;16906.0;United Kingdom;1.25
524271;22666;RECIPE BOX PANTRY YELLOW DESIGN;6;2010-09-28 11:50:00;2.95;14341.0;United Kingdom;17.700000000000003
508612;79067;CORONA MEXICAN TRAY;5;2010-05-17 12:57:00;3.75;12920.0;United Kingdom;18.75
507028;21713;CITRONELLA CANDLE FLOWERPOT;2;2010-05-05 14:51:00;2.1;15704.0;United Kingdom;4.2
497517;21746;SMALL RED SPOT  WINDMILL;12;2010-02-10 13:04:00;1.25;13813.0;Germany;15.0
491698;22352;LUNCHBOX WITH CUTLERY RETROSPOT ;12;2009-12-13 13:31:00;2.55;12681.0;France;30.599999999999998
522250;22752;SET 7 BABUSHKA NESTING BOXES;2;2010-09-13 12:23:00;8.5;17426.0;United Kingdom;17.0
519341;22188;BLACK HEART CARD HOLDER;8;2010-08-16 12:00:00;3.95;15050.0;United Kingdom;31.6
501710;47567B;TEA TIME KITCHEN APRON;3;2010-03-19 10:07:00;5.95;17738.0;United Kingdom;17.85
499463;85232B;SET/3 RUSSIAN DOLL STACKING TINS;3;2010-02-28 11:24:00;4.95;13564.0;United Kingdom;14.850000000000001
518783;22567;20 DOLLY PEGS RETROSPOT;2;2010-08-11 16:44:00;1.25;16033.0;United Kingdom;2.5
510743;21356;TOAST ITS - FAIRY FLOWER;12;2010-06-03 12:30:00;1.25;14911.0;EIRE;15.0
528957;22179;SET 10 LIGHTS NIGHT OWL;2;2010-10-26 08:49:00;6.75;12475.0;Germany;13.5
525995;21584;RETROSPOT SMALL TUBE MATCHES;1;2010-10-08 11:31:00;1.65;17196.0;United Kingdom;1.65
534403;21743;STAR PORTABLE TABLE LIGHT ;1;2010-11-22 13:59:00;2.95;14649.0;United Kingdom;2.95
536750;37370;RETRO COFFEE MUGS ASSORTED;6;2010-12-02 14:04:00;1.06;17850.0;United Kingdom;6.36
535776;21479;WHITE SKULL HOT WATER BOTTLE ;1;2010-11-28 13:40:00;3.75;17289.0;United Kingdom;3.75
519569;21344;MOROCCAN BEATEN METAL DISH;1;2010-08-18 12:34:00;9.95;16891.0;United Kingdom;9.95
532544;16156S;WRAP PINK FAIRY CAKES ;25;2010-11-12 12:10:00;0.42;13309.0;United Kingdom;10.5
495699;21238;RED SPOTTY CUP;24;2010-01-26 12:38:00;0.85;12709.0;Germany;20.4
519947;21292;SMALL STRIPES CHOCOLATE GIFT BAG ;48;2010-08-23 10:41:00;0.19;14156.0;EIRE;9.120000000000001
501858;21034;REX CASH+CARRY JUMBO SHOPPER;2;2010-03-21 11:21:00;0.95;13593.0;United Kingdom;1.9
505639;84947;ANTIQUE SILVER TEA GLASS ENGRAVED;72;2010-04-23 14:01:00;1.06;15042.0;United Kingdom;76.32000000000001
534379;22772;PINK DRAWER KNOB ACRYLIC EDWARDIAN;2;2010-11-22 12:36:00;1.25;14646.0;Netherlands;2.5
507425;85150;LADIES & GENTLEMEN METAL SIGN;12;2010-05-09 15:34:00;2.55;17675.0;United Kingdom;30.599999999999998
490525;21740;COSY SLIPPER SHOES LARGE RED;6;2009-12-06 15:40:00;2.95;13019.0;United Kingdom;17.700000000000003
506821;48195;DOOR MAT GREEN PAISLEY ;2;2010-05-04 12:51:00;7.49;17644.0;United Kingdom;14.98
523868;82482;WOODEN PICTURE FRAME WHITE FINISH;6;2010-09-24 12:48:00;2.55;15044.0;United Kingdom;15.299999999999999
492244;79190A;RETRO PLASTIC 70'S TRAY;15;2009-12-16 09:37:00;0.42;17646.0;United Kingdom;6.3
536637;22130;PARTY CONE CHRISTMAS DECORATION ;12;2010-12-02 11:35:00;0.85;18041.0;United Kingdom;10.2
516937;21157;RED SPOTTY WASHBAG;6;2010-07-25 13:35:00;2.1;16155.0;United Kingdom;12.600000000000001
524100;84865;NEW BAROQUE BLACK PHOTO ALBUM;1;2010-09-27 12:31:00;8.5;16330.0;United Kingdom;8.5
502234;22377;BOTTLE BAG RETROSPOT ;15;2010-03-23 12:24:00;2.1;16327.0;United Kingdom;31.5
533136;22423;REGENCY CAKESTAND 3 TIER;2;2010-11-16 12:52:00;12.75;17203.0;United Kingdom;25.5
494891;22221;CAKE STAND LOVEBIRD 2 TIER PINK;1;2010-01-19 13:23:00;9.95;12733.0;USA;9.95
530437;16235;RECYCLED PENCIL WITH RABBIT ERASER;1;2010-11-03 11:13:00;0.21;15915.0;United Kingdom;0.21
504923;47570;ENGLISH ROSE TABLE CLOTH;4;2010-04-19 10:48:00;10.65;14952.0;United Kingdom;42.6
530070;85183A;CHARLIE & LOLA WASTEPAPER BIN BLUE;1;2010-11-01 11:59:00;3.75;16876.0;United Kingdom;3.75
522958;22243;5 HOOK HANGER RED MAGIC TOADSTOOL;3;2010-09-19 12:15:00;1.65;16549.0;United Kingdom;4.949999999999999
531971;22399;MAGNETS PACK OF 4 CHILDHOOD MEMORY;12;2010-11-10 12:24:00;1.25;13464.0;United Kingdom;15.0
